OBJECTID,ProjectID,NumCluster,FMU,District,Area_ha,MNRF_AS_YR,YRDEP,DepletionFU,YRORG,SILVSYS,SGR,TargetFU,TargetSpc,TargetSO,SFL_Name,SFL_AsMethod,SFL_AS_YR,SFL_SPCOMP,SFL_SO,SFL_FU,SFL_EffDens,Comment,IS_TEST,SHAPE_Length,SHAPE_Area,Contact,lat,lon,ORG_ProjectID
75,TIM-VROOMAN-99,30,Spanish,Timmins,18.5459385,2021,2011,PJ1,,CC,PJ1-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  60BW  20BF  10SB  10,0.8000000,PJ2,,,N,2615.469670945454709,184597.572861476364778,Andrew Corston,47.4442596,-81.7958069,TIM-VROOMAN-99
76,TIM-CHAMPAGNE-102,31,Spanish,Timmins,30.9760590,2021,2009,PJ2,,CC,PJ2-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  60PO  20MR  10BF  10,0.7000000,PJ2,,,N,5329.510399772321762,308308.212636511598248,Andrew Corston,47.5079041,-81.7080307,TIM-CHAMPAGNE-102
77,TIM-CHAMPAGNE-116,33,Spanish,Timmins,33.0424919,2021,2010,PJ1,,CC,PJ1-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  60SB  20BW  10PO  10,0.7000000,PJ2,,,N,4854.847148676096367,328874.253261372679844,Andrew Corston,47.5137291,-81.7019043,TIM-CHAMPAGNE-116
78,TIM-VROOMAN-233,30,Spanish,Timmins,22.4718227,2021,2011,PJ2,,CC,PJ2-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  90SB  10,0.9000000,PJ1,,,N,4747.313441873515330,223676.197587100643432,Andrew Corston,47.4413528,-81.7630997,TIM-VROOMAN-233
79,TIM-WESTBROOK-328,30,Spanish,Timmins,10.3953428,2021,2013,SF1,,CC,SF1-EXTEN-SF1,SF1,Bf Sb Sw,,,,2020,SB  60BF  30LA  10,0.7000000,SF1,,,N,2846.429379457459618,103473.320196395274252,Andrew Corston,47.4342766,-81.7060623,TIM-WESTBROOK-328
80,SAU-NS-01,139,Northshore,Sault Ste. Marie,217.7720032,2022,2012,SP1/PJ2,0,CC,PJSP-b1-PJSP,PJSP,"Pj, Sb, Sw",0.5000000,NFI,Aerial,2020,PJ  60PO  20BF  10SB  10,0.8000000,PJ2,0, ,N,0.313080877860000,2183297.429853858426213,Darren Tree,47.0794449,-82.8188782,SSM-RAP01
81,SAU-NS-02,40,Northshore,Sudbury,39.9663010,2022,2011,PJ1,0,CC,PJ1-intn1-PJ1,PJ1,"Pj, Sb",0.5000000,NFI,Aerial,2020,PJ  80SB  10PO  10,1.0000000,PJ1,0, ,N,0.056249634232900,401013.924863416119479,Darren Tree,46.5271492,-82.0474319,SSM-RAP02
82,SAU-NS-03,30,Northshore,Sault Ste. Marie,20.0918999,2022,2009,PJ1,0,CC,PJ1-INT-PJ1,PJ1,"Pj , Sb, Pr, Sw, Pw",0.7000000,NFI,Aerial,2020,PJ  90SB  10,0.9000000,PJ1,0, ,N,0.024632160457500,200023.061506521858973,Darren Tree,46.9780655,-82.7139206,SSM-RAP03
83,SAU-NS-04,30,Northshore,Sault Ste. Marie,13.8600998,2022,2010,PJ1,0,CC,PJ1-intn1-PJ1,PJ1,"Pj, Sb",0.5000000,NFI,Aerial,2020,PJ 100,1.0000000,PJ1,0, ,N,0.029970951432600,138978.995480969955679,Darren Tree,46.9684639,-82.7186279,SSM-RAP04
84,SAU-NS-05,81,Northshore,Sault Ste. Marie,101.9759979,2022,2005,MW1,0,CC,MW1-int-MW1,MW1,"Pj, Sb, Pr, Po, Bw, Sw",0.7000000,NFI,Aerial,2020,PO  60PW  20SW  10MS  10,0.9000000,PO1,0, ,N,0.116337434783000,1022787.509816509089433,Darren Tree,46.8047676,-83.3349609,SSM-RAP05
85,SAU-NS-06,30,Northshore,Sault Ste. Marie,14.4814997,2022,2013,MW1,0,CC,MW1-ext-PO1,PO1,"Po, Bw",0.5000000,NFI,Aerial,2020,PO  70MS  20BW  10,1.0000000,PO1,0, ,N,0.037547221363300,145189.242237548081903,Darren Tree,47.0618401,-82.9838638,SSM-RAP06
